index,plant_number,plant_diversity,rare_exotic,plant_type,PNS,PDS,RES,PTS,PLS
1,82,15,0,5,22.5,94.44,0,100,54.8
2,36,16,0,1,80.0,93.33,0,20,59.67
3,95,14,0,4,6.25,95.56,0,80,47.32
4,55,3,0,0,56.25,30,0,0,27.38
5,28,8,0,4,90.0,80,0,80,67.0
6,26,23,1,1,92.5,85.56,100,20,80.7
7,58,38,1,0,52.5,68.89,100,0,59.86
8,98,21,1,2,2.5,87.78,100,40,57.47
9,36,10,0,2,80.0,100,0,40,65.0
10,14,2,1,0,70,20,100,0,48.0
11,46,23,1,0,67.5,85.56,100,0,70.2
12,94,59,0,3,7.5,45.56,0,60,27.2
13,11,9,1,5,55,90,100,100,83.0
14,80,47,0,5,25.0,58.89,0,100,43.11
15,9,1,0,2,45,10,0,40,23.0
16,11,4,0,3,55,40,0,60,39.5
17,36,30,1,1,80.0,77.78,100,20,74.22
18,48,23,0,5,65.0,85.56,0,100,64.45
19,35,5,0,4,81.25,50,0,80,53.88
20,94,32,0,3,7.5,75.56,0,60,37.7
21,49,18,0,5,63.75,91.11,0,100,66.01
22,42,4,0,0,72.5,40,0,0,35.75
23,41,26,1,0,73.75,82.22,100,0,70.9
24,28,19,1,1,90.0,90.0,100,20,81.5
25,84,64,1,5,20.0,40.0,100,100,55.0
26,59,10,1,1,51.25,100,100,20,73.38
27,32,17,1,4,85.0,92.22,100,80,89.78
28,52,24,0,1,60.0,84.44,0,20,50.55
29,66,64,0,0,42.5,40.0,0,0,26.75
30,15,3,0,5,75,30,0,100,48.0
31,55,39,0,3,56.25,67.78,0,60,49.6
32,49,39,1,4,63.75,67.78,100,80,74.85
33,33,1,0,5,83.75,10,0,100,43.62
34,69,35,1,0,38.75,72.22,100,0,56.9
35,38,28,0,3,77.5,80.0,0,60,60.25
36,1,1,0,4,5,10,0,80,17.0
37,14,14,1,5,70,95.56,100,100,89.45
38,65,26,0,2,43.75,82.22,0,40,47.9
39,98,21,0,4,2.5,87.78,0,80,43.47
40,42,32,0,0,72.5,75.56,0,0,48.2
41,47,20,0,0,66.25,88.89,0,0,50.99
42,31,29,0,0,86.25,78.89,0,0,53.49
43,94,63,0,4,7.5,41.11,0,80,28.64
44,99,17,0,5,1.25,92.22,0,100,47.65
45,61,61,0,2,48.75,43.33,0,40,35.79
46,68,55,0,4,40.0,50.0,0,80,41.5
47,97,94,0,5,3.75,6.67,0,100,18.46
48,40,26,1,3,75.0,82.22,100,60,80.28
49,67,58,0,1,41.25,46.67,0,20,31.71
50,29,3,1,0,88.75,30,100,0,57.12
51,76,71,0,4,30.0,32.22,0,80,32.28
52,29,1,0,5,88.75,10,0,100,45.12
53,81,8,0,0,23.75,80,0,0,35.12
54,5,3,0,4,25,30,0,80,30.0
55,31,9,1,1,86.25,90,100,20,80.38
56,70,17,1,1,37.5,92.22,100,20,66.53
57,61,52,1,1,48.75,53.33,100,20,56.29
58,13,2,1,2,65,20,100,40,52.5
59,55,27,1,5,56.25,81.11,100,100,80.26
60,7,6,0,0,35,60,0,0,31.5
61,52,47,1,0,60.0,58.89,100,0,58.61
62,32,13,0,4,85.0,96.67,0,80,71.33
63,58,9,1,1,52.5,90,100,20,70.25
64,36,30,0,0,80.0,77.78,0,0,51.22
65,57,52,0,0,53.75,53.33,0,0,34.79
66,84,70,0,0,20.0,33.33,0,0,17.67
67,97,31,0,3,3.75,76.67,0,60,36.96
68,63,31,0,3,46.25,76.67,0,60,49.71
69,8,3,1,0,40,30,100,0,42.5
70,50,17,1,2,62.5,92.22,100,40,77.03
71,55,45,1,1,56.25,61.11,100,20,61.26
72,25,10,0,0,93.75,100,0,0,63.12
73,75,70,0,5,31.25,33.33,0,100,36.04
74,41,4,0,4,73.75,40,0,80,48.12
75,62,33,0,0,47.5,74.44,0,0,40.3
76,66,11,0,0,42.5,98.89,0,0,47.36
77,77,9,0,3,28.75,90,0,60,49.12
78,16,8,0,4,80,80,0,80,64.0
79,11,7,1,2,55,70,100,40,67.0
80,27,22,1,1,91.25,86.67,100,20,80.71
81,34,26,0,5,82.5,82.22,0,100,68.53
82,83,39,1,2,21.25,67.78,100,40,56.1
83,97,10,0,3,3.75,100,0,60,45.12
84,80,73,0,0,25.0,30.0,0,0,18.0
85,69,28,1,1,38.75,80.0,100,20,62.62
86,45,5,0,2,68.75,50,0,40,44.12
87,37,11,1,4,78.75,98.89,100,80,90.24
88,91,39,0,5,11.25,67.78,0,100,42.1
89,71,39,0,1,36.25,67.78,0,20,37.6
90,34,8,0,5,82.5,80,0,100,67.75
91,71,20,1,2,36.25,88.89,100,40,67.99
92,78,27,1,1,27.5,81.11,100,20,59.64
93,88,82,1,4,15.0,20.0,100,80,43.5
94,63,17,0,0,46.25,92.22,0,0,46.15
95,82,55,1,0,22.5,50.0,100,0,44.25
96,1,1,0,5,5,10,0,100,20.0
97,34,11,1,4,82.5,98.89,100,80,91.36
98,91,55,0,0,11.25,50.0,0,0,20.88
99,10,3,0,2,50,30,0,40,31.5
100,75,71,0,3,31.25,32.22,0,60,29.65
101,17,2,1,2,85,20,100,40,58.5
102,6,3,0,5,30,30,0,100,34.5
103,32,7,1,4,85.0,70,100,80,82.0
104,53,40,0,1,58.75,66.67,0,20,43.96
105,21,6,1,0,98.75,60,100,0,70.62
106,23,11,1,5,96.25,98.89,100,100,98.49
107,95,32,1,1,6.25,75.56,100,20,51.32
108,90,14,1,0,12.5,95.56,100,0,57.2
109,61,15,0,3,48.75,94.44,0,60,56.68
110,45,20,0,1,68.75,88.89,0,20,54.74
111,4,2,1,2,20,20,100,40,39.0
112,36,5,1,2,80.0,50,100,40,67.5
113,83,66,1,5,21.25,37.78,100,100,54.6
114,69,43,0,0,38.75,63.33,0,0,33.79
115,34,12,1,0,82.5,97.78,100,0,78.97
116,14,10,1,2,70,100,100,40,82.0
117,94,41,1,4,7.5,65.56,100,80,57.2
118,66,15,1,4,42.5,94.44,100,80,77.8
119,25,9,0,5,93.75,90,0,100,74.62
120,56,1,0,2,55.0,10,0,40,26.0
121,56,5,1,4,55.0,50,100,80,66.0
122,41,8,1,4,73.75,80,100,80,82.12
123,40,27,1,3,75.0,81.11,100,60,79.89
124,90,38,0,1,12.5,68.89,0,20,30.86
125,54,43,1,5,57.5,63.33,100,100,74.42
126,96,23,1,3,5.0,85.56,100,60,60.45
127,71,1,1,2,36.25,10,100,40,40.38
128,27,14,1,3,91.25,95.56,100,60,89.82
129,57,29,0,4,53.75,78.89,0,80,55.74
130,61,51,0,5,48.75,54.44,0,100,48.68
131,11,5,1,0,55,50,100,0,54.0
132,97,31,1,1,3.75,76.67,100,20,50.96
133,26,5,0,0,92.5,50,0,0,45.25
134,32,31,0,3,85.0,76.67,0,60,61.33
135,54,41,0,5,57.5,65.56,0,100,55.2
136,90,50,1,3,12.5,55.56,100,60,52.2
137,32,10,0,0,85.0,100,0,0,60.5
138,100,55,0,1,0.0,50.0,0,20,20.5
139,90,67,1,0,12.5,36.67,100,0,36.58
140,72,32,0,3,35.0,75.56,0,60,45.95
141,18,15,1,3,90,94.44,100,60,89.05
142,79,65,1,4,26.25,38.89,100,80,53.49
143,58,58,0,5,52.5,46.67,0,100,47.08
144,61,29,1,1,48.75,78.89,100,20,65.24
145,82,36,1,5,22.5,71.11,100,100,66.64
146,31,9,1,0,86.25,90,100,0,77.38
147,92,37,0,2,10.0,70.0,0,40,33.5
148,43,21,0,1,71.25,87.78,0,20,55.1
149,20,8,1,5,100,80,100,100,93.0
150,20,7,0,3,100,70,0,60,63.5
151,53,22,1,3,58.75,86.67,100,60,76.96
152,8,4,1,3,40,40,100,60,55.0
153,99,75,0,4,1.25,27.78,0,80,22.1
154,49,31,0,2,63.75,76.67,0,40,51.96
155,39,25,1,4,76.25,83.33,100,80,84.04
156,96,95,0,3,5.0,5.56,0,60,12.45
157,29,9,1,3,88.75,90,100,60,87.12
158,4,4,1,5,20,40,100,100,55.0
159,87,52,0,3,16.25,53.33,0,60,32.54
160,17,1,1,4,85,10,100,80,61.0
161,73,4,0,5,33.75,40,0,100,39.12
162,55,9,1,1,56.25,90,100,20,71.38
163,7,3,1,2,35,30,100,40,47.0
164,28,15,1,2,90.0,94.44,100,40,86.05
165,98,49,1,3,2.5,56.67,100,60,49.58
166,33,6,1,0,83.75,60,100,0,66.12
167,96,70,0,2,5.0,33.33,0,40,19.17
168,29,21,0,5,88.75,87.78,0,100,72.35
169,6,1,0,1,30,10,0,20,15.5
170,3,3,0,1,15,30,0,20,18.0
171,17,16,0,4,85,93.33,0,80,70.17
172,28,15,1,2,90.0,94.44,100,40,86.05
173,22,20,0,1,97.5,88.89,0,20,63.36
174,40,7,0,2,75.0,70,0,40,53.0
175,74,49,1,5,32.5,56.67,100,100,64.58
176,26,3,0,0,92.5,30,0,0,38.25
177,90,39,0,4,12.5,67.78,0,80,39.47
178,6,3,1,5,30,30,100,100,54.5
179,48,5,1,0,65.0,50,100,0,57.0
180,54,53,1,0,57.5,52.22,100,0,55.53
181,56,24,1,5,55.0,84.44,100,100,81.05
182,20,14,0,5,100,95.56,0,100,78.45
183,67,35,1,3,41.25,72.22,100,60,66.65
184,56,53,1,2,55.0,52.22,100,40,60.78
185,32,6,1,3,85.0,60,100,60,75.5
186,32,30,1,2,85.0,77.78,100,40,78.72
187,4,4,1,1,20,40,100,20,43.0
188,63,14,1,2,46.25,95.56,100,40,73.32
189,44,18,1,4,70.0,91.11,100,80,84.89
190,2,1,0,1,10,10,0,20,9.5
191,93,53,1,4,8.75,52.22,100,80,52.9
192,98,31,1,5,2.5,76.67,100,100,62.58
193,92,63,1,0,10.0,41.11,100,0,37.39
194,12,5,0,3,60,50,0,60,44.5
195,89,32,1,5,13.75,75.56,100,100,65.57
196,75,48,1,4,31.25,57.78,100,80,61.6
197,68,45,1,5,40.0,61.11,100,100,68.39
198,71,43,1,5,36.25,63.33,100,100,68.04
199,59,18,1,2,51.25,91.11,100,40,73.26
200,30,4,0,2,87.5,40,0,40,46.25
201,16,6,0,1,80,60,0,20,48.0
202,95,62,1,5,6.25,42.22,100,100,51.65
203,76,68,1,0,30.0,35.56,100,0,41.45
204,25,10,0,2,93.75,100,0,40,69.12
205,23,10,0,5,96.25,100,0,100,78.88
206,69,17,1,0,38.75,92.22,100,0,63.9
